tacq,bleaching(%),Tall,datalabel,opl0406avg,OPL_pk_fit (nm),t_pk,tau_b_fit
22,4.285302276336673,[ 22  42  64  89 133 153 180 295 408],DArep8,90.43641387,85.71294098960234,0.385,0.6662136413338806
22,4.285302276336673,[ 22  43  65  95 132 154 183 309 419],DArep7,87.36250157177169,83.61136329183006,0.42,0.8691496651518968
23,4.346700829200975,[ 23  57  80 112 146 169 201 323 453],DArep4,89.59884484696647,82.86015275684932,0.42,0.5932488494944731
27,4.582313107307295,[ 27  46  69  96 135 156 303 427],DArep5,96.87685935306436,91.04219709,0.455,0.5888737664290755
28,4.638802503,[ 28  50  68  94 129 149 184 325 446],DArep6,97.7650909011632,93.76401178142615,0.455,0.5929821462111688
30,4.748995663940285,[ 30  46  65  91 136 159 194 296 445],DArep3,98.7632048565973,94.15236114773839,0.455,0.5895715621410479
36,5.058369630536018,[ 36  63  91 120 155 184 215 359 495],DArep2,102.76407202030008,96.75453256648157,0.49,0.4796739070226224
42,5.092658511176576,[ 22  42  64  89 133 153 180 295 408],DArep8,100.08916791044757,93.96675786485059,0.455,0.5151865183761224
43,5.140712639230921,[ 22  43  65  95 132 154 183 309 419],DArep7,105.52404571828096,100.0350754941674,0.49,0.4795190135924406
46,5.2189724222428975,[ 30  46  65  91 136 159 194 296 445],DArep3,108.07707738624828,101.5877498725565,0.5250000000000001,0.4410126887487662
46,5.2428794723889816,[ 27  46  69  96 135 156 303 427],DArep5,109.79818881660098,105.49591409496526,0.5250000000000001,0.4742404445870202
50,5.413363317354573,[ 28  50  68  94 129 149 184 325 446],DArep6,114.64087878183588,107.30785751633556,0.49,0.34992396832097045
57,5.7297579171110815,[ 23  57  80 112 146 169 201 323 453],DArep4,123.09661553668064,116.92447392746818,0.595,0.314099241
63,5.866304954545136,[ 36  63  91 120 155 184 215 359 495],DArep2,116.3532824443268,110.70722055621113,0.5250000000000001,0.3881523194407641
64,5.702740714784832,[ 22  42  64  89 133 153 180 295 408],DArep8,119.2105639370745,112.30206385481269,0.49,0.3825132467722903
65,5.669624371819847,[ 30  46  65  91 136 159 194 296 445],DArep3,114.82893284724196,107.67202342516984,0.5250000000000001,0.3714407480208406
65,5.733379900472968,[ 22  43  65  95 132 154 183 309 419],DArep7,117.62055045555884,110.75576378297387,0.5250000000000001,0.36523180378980113
68,5.762946961,[ 28  50  68  94 129 149 184 325 446],DArep6,116.20696172657927,106.90795006645655,0.5250000000000001,0.26037566144642454
69,5.834908448574527,[ 27  46  69  96 135 156 303 427],DArep5,117.09242013381638,109.1250863087102,0.56,0.214899028
80,6.140209868147757,[ 23  57  80 112 146 169 201 323 453],DArep4,127.4132612098756,120.1452588,0.595,0.2708285670482197
89,6.184795070466173,[ 22  42  64  89 133 153 180 295 408],DArep8,123.16233600919469,116.04748876285475,0.56,0.30183347118869863
91,6.195044638895668,[ 30  46  65  91 136 159 194 296 445],DArep3,124.91728145507425,116.8937298,0.56,0.2422696071202204
91,6.3676874610637775,[ 36  63  91 120 155 184 215 359 495],DArep2,120.02133563568206,111.95661457431558,0.56,0.2523750129963069
94,6.250709397528024,[ 28  50  68  94 129 149 184 325 446],DArep6,116.93497347338088,108.33008671852456,0.5250000000000001,0.2584203791547613
95,6.347027760242593,[ 22  43  65  95 132 154 183 309 419],DArep7,129.31397309225963,119.14219753756754,0.56,0.20571484634242582
96,6.321836524856911,[ 27  46  69  96 135 156 303 427],DArep5,131.5198742432021,122.55396337185624,0.6300000000000001,0.2644907738047316
112,6.620790677575053,[ 23  57  80 112 146 169 201 323 453],DArep4,135.56916152017428,126.03365676446144,0.595,0.2046689909009418
120,6.679144768077794,[ 36  63  91 120 155 184 215 359 495],DArep2,126.28801744754558,117.54394426544657,0.5250000000000001,0.20312997646610254
129,6.744785121270117,[ 28  50  68  94 129 149 184 325 446],DArep6,135.61237631603842,125.06337833449433,0.6300000000000001,0.16807485489372614
132,6.833763934157025,[ 22  43  65  95 132 154 183 309 419],DArep7,136.10579619758246,124.33208542871732,0.595,0.1411495855413337
133,6.890500261,[ 22  42  64  89 133 153 180 295 408],DArep8,146.0157442187835,131.9197054938831,0.6300000000000001,0.1675205426028701
135,6.859898800352954,[ 27  46  69  96 135 156 303 427],DArep5,134.81284998205035,123.7409384,0.6300000000000001,0.1373355406798633
136,6.913292907811586,[ 30  46  65  91 136 159 194 296 445],DArep3,138.34856231888836,129.08754215214276,0.595,0.13702192925242784
146,6.916879608027841,[ 23  57  80 112 146 169 201 323 453],DArep4,140.3981166648711,127.83937519723463,0.6300000000000001,0.08864880950000001
149,6.713971260093375,[ 28  50  68  94 129 149 184 325 446],DArep6,134.28662958260736,123.93049897780818,0.6300000000000001,0.15307979204744926
153,6.810027963397533,[ 22  42  64  89 133 153 180 295 408],DArep8,138.90840704565315,126.92292036986508,0.595,0.1576574700083055
154,6.812864954204809,[ 22  43  65  95 132 154 183 309 419],DArep7,127.53373902551424,118.21422655775812,0.595,0.20939565
155,6.964740556,[ 36  63  91 120 155 184 215 359 495],DArep2,137.50832576354952,125.3228427097377,0.595,0.14873207155843154
156,6.809857145031955,[ 27  46  69  96 135 156 303 427],DArep5,139.14703417958367,128.0192126567867,0.6300000000000001,0.1600151156271495
159,6.882355914440062,[ 30  46  65  91 136 159 194 296 445],DArep3,133.653474802057,125.23726959297295,0.56,0.17258485984087554
169,6.884604986419891,[ 23  57  80 112 146 169 201 323 453],DArep4,137.76893534287674,127.26628587429076,0.595,0.1431073365979184
180,6.893859086396072,[ 22  42  64  89 133 153 180 295 408],DArep8,138.16585980450822,130.1881680220033,0.595,0.1871343979006571
